player_name,player_image_url,0,1,2,3,4,5,6,7,8,9,10
Lee Shaffer,,0,17,19,49,64,94,108,119,153,185,230
Tom Heinsohn,https://www.basketball-reference.com/req/202105201/images/players/heinsto01.jpg,0,19,49,61,87,101,122,141,164,192,229
Russell Westbrook,https://www.basketball-reference.com/req/202105201/images/players/westbru01.jpg,0,23,42,69,87,102,123,154,175,198,228
Kemba Walker,https://www.basketball-reference.com/req/202105201/images/players/walkeke02.jpg,0,20,36,49,78,97,126,143,177,191,228
Walter Davis,https://www.basketball-reference.com/req/202105201/images/players/daviswa03.jpg,0,31,50,75,106,129,153,169,191,208,226
Richard Hamilton,https://www.basketball-reference.com/req/202105201/images/players/hamilri01.jpg,0,28,58,80,85,109,131,153,178,201,225
Isiah Thomas,https://www.basketball-reference.com/req/202105201/images/players/thomais01.jpg,0,10,21,50,72,107,128,157,173,196,224
Doug Collins,https://www.basketball-reference.com/req/202105201/images/players/collido01.jpg,0,13,33,58,85,98,123,159,182,214,224
Rudy Tomjanovich,https://www.basketball-reference.com/req/202105201/images/players/tomjaru01.jpg,0,8,30,55,85,104,132,157,184,203,223
Brian Winters,https://www.basketball-reference.com/req/202105201/images/players/wintebr01.jpg,0,18,49,82,113,137,152,166,186,200,223
Ray Allen,https://www.basketball-reference.com/req/202105201/images/players/allenra02.jpg,0,22,47,67,93,113,139,159,177,195,222
Hakeem Olajuwon,https://www.basketball-reference.com/req/202105201/images/players/olajuha01.jpg,0,14,30,56,74,106,135,152,166,204,222
Connie Hawkins,https://www.basketball-reference.com/req/202105201/images/players/hawkico01.jpg,0,24,58,77,101,129,153,178,199,215,222
Maurice Lucas,https://www.basketball-reference.com/req/202105201/images/players/lucasma01.jpg,0,29,46,67,90,119,146,163,181,193,221
Joe Fulks,https://www.basketball-reference.com/req/202105201/images/players/fulksjo01.jpg,0,17,26,50,74,90,127,140,166,187,221
Dominique Wilkins,https://www.basketball-reference.com/req/202105201/images/players/wilkido01.jpg,0,21,39,47,68,90,112,131,143,171,221
Calvin Murphy,https://www.basketball-reference.com/req/202105201/images/players/murphca01.jpg,0,22,42,62,81,111,133,168,195,205,221
Mark Aguirre,https://www.basketball-reference.com/req/202105201/images/players/aguirma01.jpg,0,20,47,72,101,126,142,156,177,211,220
Derrick Rose,https://www.basketball-reference.com/req/202105201/images/players/rosede01.jpg,0,36,46,55,78,92,120,138,166,189,220
Reggie Miller,https://www.basketball-reference.com/req/202105201/images/players/millere01.jpg,0,17,40,62,86,101,121,148,170,199,219
Antoine Walker,https://www.basketball-reference.com/req/202105201/images/players/walkean02.jpg,0,20,44,71,96,122,142,157,173,203,219
Kirk Hinrich,https://www.basketball-reference.com/req/202105201/images/players/hinriki01.jpg,0,17,51,64,82,105,127,146,175,197,218
Joel Embiid,https://www.basketball-reference.com/req/202105201/images/players/embiijo01.jpg,0,23,37,56,87,107,129,144,171,193,216
Grant Hill,https://www.basketball-reference.com/req/202105201/images/players/hillgr01.jpg,0,21,40,57,77,102,126,154,175,201,216
Dan Issel,https://www.basketball-reference.com/req/202105201/images/players/isselda01.jpg,0,28,64,78,95,118,132,154,176,192,216
Chuck Person,,0,21,45,68,108,118,134,148,171,210,216
Larry Bird,https://www.basketball-reference.com/req/202105201/images/players/birdla01.jpg,0,15,29,47,81,108,139,161,180,192,215
Kelly Tripucka,https://www.basketball-reference.com/req/202105201/images/players/tripuke01.jpg,0,26,53,93,114,137,151,169,181,191,215
Jack Twyman,https://www.basketball-reference.com/req/202105201/images/players/twymaja01.jpg,0,13,37,53,70,91,113,137,168,192,215
Isaiah Thomas,https://www.basketball-reference.com/req/202105201/images/players/thomais02.jpg,0,22,44,49,70,97,113,155,183,190,215
Brook Lopez,https://www.basketball-reference.com/req/202105201/images/players/lopezbr01.jpg,0,21,42,64,90,118,135,156,173,193,215
Sleepy Floyd,https://www.basketball-reference.com/req/202105201/images/players/floydsl01.jpg,0,17,31,58,80,101,120,131,145,196,214
Ralph Sampson,https://www.basketball-reference.com/req/202105201/images/players/sampsra01.jpg,0,26,45,65,83,106,122,142,167,187,214
Tim Duncan,https://www.basketball-reference.com/req/202105201/images/players/duncati01.jpg,0,32,48,70,81,114,140,150,172,186,212
Lou Hudson,https://www.basketball-reference.com/req/202105201/images/players/hudsolo01.jpg,0,26,55,79,115,139,157,173,188,203,212
Latrell Sprewell,https://www.basketball-reference.com/req/202105201/images/players/sprewla01.jpg,0,22,41,68,90,105,125,135,149,180,211
Chris Bosh,https://www.basketball-reference.com/req/202105201/images/players/boshch01.jpg,0,22,47,58,71,82,105,126,155,170,209
Allan Houston,https://www.basketball-reference.com/req/202105201/images/players/houstal01.jpg,0,19,42,75,100,112,132,159,178,191,208
Mychal Thompson,https://www.basketball-reference.com/req/202105201/images/players/thompmy01.jpg,0,23,43,59,77,117,134,159,172,194,206
Mitch Richmond,https://www.basketball-reference.com/req/202105201/images/players/richmmi01.jpg,0,30,51,77,89,114,127,138,161,190,206
Willie Anderson,https://www.basketball-reference.com/req/202105201/images/players/anderwi01.jpg,0,27,52,78,95,101,118,132,155,185,205
Jamal Murray,https://www.basketball-reference.com/req/202105201/images/players/murraja01.jpg,0,17,41,47,71,94,110,133,156,171,205
Bob Pettit,https://www.basketball-reference.com/req/202105201/images/players/pettibo01.jpg,0,25,39,80,87,106,122,137,153,175,205
Danny Manning,https://www.basketball-reference.com/req/202105201/images/players/mannida01.jpg,0,17,39,56,89,113,130,138,161,180,204
Tom Burleson,,0,19,41,67,85,101,126,155,168,186,203
Karl Malone,https://www.basketball-reference.com/req/202105201/images/players/malonka01.jpg,0,23,54,70,87,107,129,144,164,187,203
Nick Van Exel,https://www.basketball-reference.com/req/202105201/images/players/vanexni01.jpg,0,29,42,65,99,115,132,157,165,187,200
Pau Gasol,https://www.basketball-reference.com/req/202105201/images/players/gasolpa01.jpg,0,14,34,52,74,90,118,131,159,183,199
LaMarcus Aldridge,https://www.basketball-reference.com/req/202105201/images/players/aldrila01.jpg,0,7,34,47,66,91,117,139,150,167,198
Kyrie Irving,https://www.basketball-reference.com/req/202105201/images/players/irvinky01.jpg,0,30,56,69,93,123,144,155,167,192,198
Michael Finley,https://www.basketball-reference.com/req/202105201/images/players/finlemi01.jpg,0,26,58,66,86,119,136,160,170,195,197
Larry Kenon,https://www.basketball-reference.com/req/202105201/images/players/kenonla01.jpg,0,20,34,56,67,104,114,131,140,170,197
Jason Richardson,https://www.basketball-reference.com/req/202105201/images/players/richaja01.jpg,0,13,27,57,79,102,117,138,165,190,197
Bradley Beal,https://www.basketball-reference.com/req/202105201/images/players/bealbr01.jpg,0,13,39,64,82,99,124,141,157,177,195
Darrell Griffith,https://www.basketball-reference.com/req/202105201/images/players/griffda01.jpg,0,9,23,47,73,97,108,130,148,172,194
Cazzie Russell,,0,18,25,49,62,80,96,136,147,178,192
Stephon Marbury,https://www.basketball-reference.com/req/202105201/images/players/marbust01.jpg,0,28,50,64,77,102,116,126,133,159,191
Moses Malone,https://www.basketball-reference.com/req/202105201/images/players/malonmo01.jpg,0,12,43,61,78,103,117,149,156,186,191
Brandon Roy,https://www.basketball-reference.com/req/202105201/images/players/roybr01.jpg,0,21,63,82,113,138,160,170,175,189,191
Alvin Robertson,https://www.basketball-reference.com/req/202105201/images/players/roberal01.jpg,0,14,16,27,61,89,97,119,133,171,191
Tom Chambers,https://www.basketball-reference.com/req/202105201/images/players/chambto01.jpg,0,4,34,50,59,68,103,113,135,166,190
Patrick Ewing,https://www.basketball-reference.com/req/202105201/images/players/ewingpa01.jpg,0,16,34,65,75,101,118,126,148,171,190
Mark Price,https://www.basketball-reference.com/req/202105201/images/players/pricema01.jpg,0,17,36,67,80,105,120,122,146,169,190
Ed Macauley,https://www.basketball-reference.com/req/202105201/images/players/macaued01.jpg,0,23,44,61,97,114,127,145,162,183,190
Joe Barry Carroll,https://www.basketball-reference.com/req/202105201/images/players/carrojo01.jpg,0,18,40,52,65,89,111,133,156,179,189
Chandler Parsons,https://www.basketball-reference.com/req/202105201/images/players/parsoch01.jpg,0,9,26,47,74,84,109,133,148,163,189
Blake Griffin,https://www.basketball-reference.com/req/202105201/images/players/griffbl01.jpg,0,17,39,56,86,101,118,126,141,161,189
Steve Smith,https://www.basketball-reference.com/req/202105201/images/players/smithst01.jpg,0,19,30,48,70,94,119,134,144,161,188
Joe Caldwell,,0,33,46,65,86,104,116,126,145,166,187
Adrian Dantley,https://www.basketball-reference.com/req/202105201/images/players/dantlad01.jpg,0,17,36,51,66,91,117,139,151,171,187
Lewis Lloyd,,0,13,40,63,78,86,100,110,135,163,186
Dwight Howard,https://www.basketball-reference.com/req/202105201/images/players/howardw01.jpg,0,13,21,32,61,86,115,134,153,174,186
Caris LeVert,https://www.basketball-reference.com/req/202105201/images/players/leverca01.jpg,0,23,36,62,87,105,120,136,151,186,186
Xavier McDaniel,https://www.basketball-reference.com/req/202105201/images/players/mcdanxa01.jpg,0,18,46,62,91,102,124,136,149,161,185
Richie Guerin,https://www.basketball-reference.com/req/202105201/images/players/gueriri01.jpg,0,24,30,44,66,80,91,110,142,165,185
Jeff Ruland,https://www.basketball-reference.com/req/202105201/images/players/rulanje01.jpg,0,18,30,35,54,71,86,119,136,152,185
Cliff Robinson,,0,24,33,54,59,77,94,105,136,166,185
Cedric Maxwell,https://www.basketball-reference.com/req/202105201/images/players/maxwece01.jpg,0,15,28,47,74,95,112,129,147,164,185
Yao Ming,https://www.basketball-reference.com/req/202105201/images/players/mingya01.jpg,0,10,31,49,65,75,86,119,134,154,184
Mike Bibby,https://www.basketball-reference.com/req/202105201/images/players/bibbymi01.jpg,0,20,25,51,56,67,89,118,142,165,184
Gerald Wilkins,,0,24,48,62,80,114,122,144,162,171,184
Glen Rice,https://www.basketball-reference.com/req/202105201/images/players/ricegl01.jpg,0,17,32,57,70,79,98,111,122,144,183
Tom Meschery,,0,8,34,51,74,90,106,118,145,168,182
Ray Williams,,0,9,25,49,73,87,105,124,148,159,182
Maurice Cheeks,https://www.basketball-reference.com/req/202105201/images/players/cheekma01.jpg,0,9,25,44,68,83,116,134,149,169,182
Ben Gordon,https://www.basketball-reference.com/req/202105201/images/players/gordobe01.jpg,0,30,44,52,60,87,87,122,135,159,182
Ron Harper,https://www.basketball-reference.com/req/202105201/images/players/harpero01.jpg,0,10,24,54,71,85,116,130,147,169,181
Nenad Krstić,https://www.basketball-reference.com/req/202105201/images/players/krstine01.jpg,0,11,38,56,73,95,115,124,145,164,181
Jayson Tatum,https://www.basketball-reference.com/req/202105201/images/players/tatumja01.jpg,0,19,23,37,58,66,88,108,136,157,181
Carmelo Anthony,https://www.basketball-reference.com/req/202105201/images/players/anthoca01.jpg,0,19,34,58,60,74,84,103,131,156,181
Brandon Jennings,https://www.basketball-reference.com/req/202105201/images/players/jennibr01.jpg,0,34,43,56,79,104,116,131,157,165,181
Reggie Theus,https://www.basketball-reference.com/req/202105201/images/players/theusre01.jpg,0,10,47,60,81,107,119,130,140,162,180
Buck Williams,https://www.basketball-reference.com/req/202105201/images/players/willibu01.jpg,0,23,35,51,73,98,111,132,148,165,180
Hersey Hawkins,https://www.basketball-reference.com/req/202105201/images/players/hawkihe01.jpg,0,2,6,8,43,64,83,105,144,156,179
Bill Walton,https://www.basketball-reference.com/req/202105201/images/players/waltobi01.jpg,0,11,35,52,74,93,119,130,145,157,179
George McGinnis,https://www.basketball-reference.com/req/202105201/images/players/mcginge01.jpg,0,20,54,69,75,91,110,137,148,170,178
Arvydas Sabonis,https://www.basketball-reference.com/req/202105201/images/players/sabonar01.jpg,0,26,52,79,104,118,136,140,140,163,178
Artis Gilmore,https://www.basketball-reference.com/req/202105201/images/players/gilmoar01.jpg,0,13,40,56,69,94,112,131,145,164,177
Neil Johnston,https://www.basketball-reference.com/req/202105201/images/players/johnsne01.jpg,0,13,14,16,32,75,91,126,151,161,176
Don Ohl,,0,12,22,38,58,63,87,105,126,159,176
Deron Williams,https://www.basketball-reference.com/req/202105201/images/players/willide01.jpg,0,15,30,41,66,79,94,114,145,162,176
Dan Roundfield,https://www.basketball-reference.com/req/202105201/images/players/roundda01.jpg,0,23,36,60,77,88,110,128,144,158,176
Connie Simmons,,0,34,57,79,86,97,112,137,151,160,176
Bob Boozer,https://www.basketball-reference.com/req/202105201/images/players/boozebo01.jpg,0,20,46,61,73,88,103,117,138,158,176
Anthony Roberts,,0,16,35,49,61,75,89,115,137,159,176
Amar'e Stoudemire,https://www.basketball-reference.com/req/202105201/images/players/stoudam01.jpg,0,24,29,46,53,67,85,94,128,158,176
Tiny Archibald,https://www.basketball-reference.com/req/202105201/images/players/architi01.jpg,0,12,36,54,82,95,121,131,140,160,175
Nikola Vučević,https://www.basketball-reference.com/req/202105201/images/players/vucevni01.jpg,0,1,12,18,40,51,57,92,124,144,175
Kevin Garnett,https://www.basketball-reference.com/req/202105201/images/players/garneke01.jpg,0,21,35,52,70,85,104,124,131,152,175
Jerry Stackhouse,https://www.basketball-reference.com/req/202105201/images/players/stackje01.jpg,0,7,17,26,39,50,73,99,124,144,175
Dwyane Wade,https://www.basketball-reference.com/req/202105201/images/players/wadedw01.jpg,0,21,35,37,48,69,96,108,130,149,174
