player_name,player_image_url,,1 career playoff game,2 career playoff games,3 career playoff games,4 career playoff games,5 career playoff games,6 career playoff games,7 career playoff games,8 career playoff games,9 career playoff games,10 career playoff games
Fred Brown,https://www.basketball-reference.com/req/202105201/images/players/brownfr01.jpg,0,23,53,71
Ed Sadowski,,0,24,50,71
Antoine Walker,https://www.basketball-reference.com/req/202105201/images/players/walkean02.jpg,0,20,44,71
Vernon Maxwell,,0,20,44,70
Tim Duncan,https://www.basketball-reference.com/req/202105201/images/players/duncati01.jpg,0,32,48,70
Orlando Woolridge,,0,16,42,70
Karl Malone,https://www.basketball-reference.com/req/202105201/images/players/malonka01.jpg,0,23,54,70
Elgin Baylor,https://www.basketball-reference.com/req/202105201/images/players/bayloel01.jpg,0,14,40,70
Russell Westbrook,https://www.basketball-reference.com/req/202105201/images/players/westbru01.jpg,0,23,42,69
Kyrie Irving,https://www.basketball-reference.com/req/202105201/images/players/irvinky01.jpg,0,30,56,69
George McGinnis,https://www.basketball-reference.com/req/202105201/images/players/mcginge01.jpg,0,20,54,69
Alex Groza,,0,13,39,69
Latrell Sprewell,https://www.basketball-reference.com/req/202105201/images/players/sprewla01.jpg,0,22,41,68
Kiki Vandeweghe,https://www.basketball-reference.com/req/202105201/images/players/vandeki01.jpg,0,29,44,68
Dirk Nowitzki,https://www.basketball-reference.com/req/202105201/images/players/nowitdi01.jpg,0,20,35,68
D'Angelo Russell,https://www.basketball-reference.com/req/202105201/images/players/russeda01.jpg,0,26,42,68
Chuck Person,,0,21,45,68
Tom Burleson,,0,19,41,67
Ray Allen,https://www.basketball-reference.com/req/202105201/images/players/allenra02.jpg,0,22,47,67
Maurice Lucas,https://www.basketball-reference.com/req/202105201/images/players/lucasma01.jpg,0,29,46,67
Mark Price,https://www.basketball-reference.com/req/202105201/images/players/pricema01.jpg,0,17,36,67
John Drew,https://www.basketball-reference.com/req/202105201/images/players/drewjo01.jpg,0,25,52,67
Derrick Coleman,https://www.basketball-reference.com/req/202105201/images/players/colemde01.jpg,0,21,45,67
Walter Berry,,0,25,39,66
Stephen Jackson,https://www.basketball-reference.com/req/202105201/images/players/jacksst02.jpg,0,23,46,66
Michael Finley,https://www.basketball-reference.com/req/202105201/images/players/finlemi01.jpg,0,26,58,66
Ralph Sampson,https://www.basketball-reference.com/req/202105201/images/players/sampsra01.jpg,0,26,45,65
Patrick Ewing,https://www.basketball-reference.com/req/202105201/images/players/ewingpa01.jpg,0,16,34,65
Otis Birdsong,https://www.basketball-reference.com/req/202105201/images/players/birdsot01.jpg,0,20,43,65
Nick Van Exel,https://www.basketball-reference.com/req/202105201/images/players/vanexni01.jpg,0,29,42,65
Joe Caldwell,,0,33,46,65
Deandre Ayton,https://www.basketball-reference.com/req/202105201/images/players/aytonde01.jpg,0,21,43,65
Terry Teagle,,0,15,34,64
Stephon Marbury,https://www.basketball-reference.com/req/202105201/images/players/marbust01.jpg,0,28,50,64
Rudy Gay,https://www.basketball-reference.com/req/202105201/images/players/gayru01.jpg,0,19,40,64
Kirk Hinrich,https://www.basketball-reference.com/req/202105201/images/players/hinriki01.jpg,0,17,51,64
Dario Šarić,https://www.basketball-reference.com/req/202105201/images/players/saricda01.jpg,0,20,43,64
Brook Lopez,https://www.basketball-reference.com/req/202105201/images/players/lopezbr01.jpg,0,21,42,64
Bradley Beal,https://www.basketball-reference.com/req/202105201/images/players/bealbr01.jpg,0,13,39,64
Steve Francis,https://www.basketball-reference.com/req/202105201/images/players/francst01.jpg,0,18,36,63
Paul Arizin,https://www.basketball-reference.com/req/202105201/images/players/arizipa01.jpg,0,23,41,63
Lewis Lloyd,,0,13,40,63
Gary Brokaw,,0,36,53,63
Xavier McDaniel,https://www.basketball-reference.com/req/202105201/images/players/mcdanxa01.jpg,0,18,46,62
Shaquille O'Neal,https://www.basketball-reference.com/req/202105201/images/players/onealsh01.jpg,0,24,39,62
Rony Seikaly,https://www.basketball-reference.com/req/202105201/images/players/seikaro01.jpg,0,14,40,62
Reggie Miller,https://www.basketball-reference.com/req/202105201/images/players/millere01.jpg,0,17,40,62
Pete Maravich,https://www.basketball-reference.com/req/202105201/images/players/maravpe01.jpg,0,23,40,62
Glenn Robinson,https://www.basketball-reference.com/req/202105201/images/players/robingl01.jpg,0,16,39,62
Gerald Wilkins,,0,24,48,62
Elmore Smith,https://www.basketball-reference.com/req/202105201/images/players/smithel01.jpg,0,16,32,62
Caris LeVert,https://www.basketball-reference.com/req/202105201/images/players/leverca01.jpg,0,23,36,62
Calvin Murphy,https://www.basketball-reference.com/req/202105201/images/players/murphca01.jpg,0,22,42,62
Alonzo Mourning,https://www.basketball-reference.com/req/202105201/images/players/mournal01.jpg,0,30,48,62
Tom Heinsohn,https://www.basketball-reference.com/req/202105201/images/players/heinsto01.jpg,0,19,49,61
Tim Hardaway,https://www.basketball-reference.com/req/202105201/images/players/hardati01.jpg,0,19,39,61
Stan Stutz,,0,6,36,61
Ricky Rubio,https://www.basketball-reference.com/req/202105201/images/players/rubiori01.jpg,0,13,35,61
Moses Malone,https://www.basketball-reference.com/req/202105201/images/players/malonmo01.jpg,0,12,43,61
Ed Macauley,https://www.basketball-reference.com/req/202105201/images/players/macaued01.jpg,0,23,44,61
Bob Boozer,https://www.basketball-reference.com/req/202105201/images/players/boozebo01.jpg,0,20,46,61
Antonio McDyess,https://www.basketball-reference.com/req/202105201/images/players/mcdyean01.jpg,0,14,35,61
Reggie Theus,https://www.basketball-reference.com/req/202105201/images/players/theusre01.jpg,0,10,47,60
Kendall Gill,https://www.basketball-reference.com/req/202105201/images/players/gillke01.jpg,0,30,48,60
Dan Roundfield,https://www.basketball-reference.com/req/202105201/images/players/roundda01.jpg,0,23,36,60
Bob Cousy,https://www.basketball-reference.com/req/202105201/images/players/cousybo01.jpg,0,17,29,60
Ben Simmons,https://www.basketball-reference.com/req/202105201/images/players/simmobe01.jpg,0,17,41,60
Tom Boerwinkle,https://www.basketball-reference.com/req/202105201/images/players/boerwto01.jpg,0,16,39,59
T.J. Warren,https://www.basketball-reference.com/req/202105201/images/players/warretj01.jpg,0,22,36,59
Roy Hinson,,0,24,38,59
Mychal Thompson,https://www.basketball-reference.com/req/202105201/images/players/thompmy01.jpg,0,23,43,59
Vince Carter,https://www.basketball-reference.com/req/202105201/images/players/cartevi01.jpg,0,16,43,58
Sleepy Floyd,https://www.basketball-reference.com/req/202105201/images/players/floydsl01.jpg,0,17,31,58
Red Kerr,https://www.basketball-reference.com/req/202105201/images/players/kerrre01.jpg,0,27,38,58
Rasheed Wallace,https://www.basketball-reference.com/req/202105201/images/players/wallara01.jpg,0,18,38,58
Khris Middleton,https://www.basketball-reference.com/req/202105201/images/players/middlkh01.jpg,0,18,40,58
Frank Brickowski,,0,17,36,58
Doug Collins,https://www.basketball-reference.com/req/202105201/images/players/collido01.jpg,0,13,33,58
Chris Bosh,https://www.basketball-reference.com/req/202105201/images/players/boshch01.jpg,0,22,47,58
Carmelo Anthony,https://www.basketball-reference.com/req/202105201/images/players/anthoca01.jpg,0,19,34,58
Tony Parker,https://www.basketball-reference.com/req/202105201/images/players/parketo01.jpg,0,21,34,57
Jason Richardson,https://www.basketball-reference.com/req/202105201/images/players/richaja01.jpg,0,13,27,57
Grant Hill,https://www.basketball-reference.com/req/202105201/images/players/hillgr01.jpg,0,21,40,57
Glen Rice,https://www.basketball-reference.com/req/202105201/images/players/ricegl01.jpg,0,17,32,57
Elton Brand,https://www.basketball-reference.com/req/202105201/images/players/brandel01.jpg,0,21,40,57
Bob Dandridge,https://www.basketball-reference.com/req/202105201/images/players/dandrbo01.jpg,0,17,39,57
Albert King,,0,15,40,57
Ralph Beard,,0,17,32,56
Nenad Krstić,https://www.basketball-reference.com/req/202105201/images/players/krstine01.jpg,0,11,38,56
Larry Kenon,https://www.basketball-reference.com/req/202105201/images/players/kenonla01.jpg,0,20,34,56
Juwan Howard,https://www.basketball-reference.com/req/202105201/images/players/howarju01.jpg,0,21,39,56
Joel Embiid,https://www.basketball-reference.com/req/202105201/images/players/embiijo01.jpg,0,23,37,56
Hakeem Olajuwon,https://www.basketball-reference.com/req/202105201/images/players/olajuha01.jpg,0,14,30,56
Danny Manning,https://www.basketball-reference.com/req/202105201/images/players/mannida01.jpg,0,17,39,56
Brandon Jennings,https://www.basketball-reference.com/req/202105201/images/players/jennibr01.jpg,0,34,43,56
Blake Griffin,https://www.basketball-reference.com/req/202105201/images/players/griffbl01.jpg,0,17,39,56
Billy Owens,,0,25,41,56
Artis Gilmore,https://www.basketball-reference.com/req/202105201/images/players/gilmoar01.jpg,0,13,40,56
Anthony Parker,https://www.basketball-reference.com/req/202105201/images/players/parkean01.jpg,0,16,42,56
Anfernee Hardaway,https://www.basketball-reference.com/req/202105201/images/players/hardaan01.jpg,0,12,43,56
Šarūnas Marčiulionis,,0,18,34,55
Tom Gugliotta,https://www.basketball-reference.com/req/202105201/images/players/guglito01.jpg,0,11,28,55
Rudy Tomjanovich,https://www.basketball-reference.com/req/202105201/images/players/tomjaru01.jpg,0,8,30,55
Kevin Love,https://www.basketball-reference.com/req/202105201/images/players/loveke01.jpg,0,19,32,55
Kenyon Martin,https://www.basketball-reference.com/req/202105201/images/players/martike01.jpg,0,15,34,55
John Wall,https://www.basketball-reference.com/req/202105201/images/players/walljo01.jpg,0,16,32,55
Jack Sikma,https://www.basketball-reference.com/req/202105201/images/players/sikmaja01.jpg,0,13,31,55
Gary Harris,https://www.basketball-reference.com/req/202105201/images/players/harriga01.jpg,0,20,43,55
Derrick Rose,https://www.basketball-reference.com/req/202105201/images/players/rosede01.jpg,0,36,46,55
Zydrunas Ilgauskas,https://www.basketball-reference.com/req/202105201/images/players/ilgauzy01.jpg,0,16,41,54
Tiny Archibald,https://www.basketball-reference.com/req/202105201/images/players/architi01.jpg,0,12,36,54
Sam Perkins,https://www.basketball-reference.com/req/202105201/images/players/perkisa01.jpg,0,26,40,54
Ron Harper,https://www.basketball-reference.com/req/202105201/images/players/harpero01.jpg,0,10,24,54
Larry McNeill,,0,22,50,54
Cliff Robinson,,0,24,33,54
Caron Butler,https://www.basketball-reference.com/req/202105201/images/players/butleca01.jpg,0,12,30,54
Tom Henderson,https://www.basketball-reference.com/req/202105201/images/players/hendeto01.jpg,0,10,22,53
Timothé Luwawu-Cabarrot,https://www.basketball-reference.com/req/202105201/images/players/luwawti01.jpg,0,26,43,53
Rudy LaRusso,https://www.basketball-reference.com/req/202105201/images/players/larusru01.jpg,0,18,37,53
Ron Brewer,,0,26,47,53
Rickey Green,https://www.basketball-reference.com/req/202105201/images/players/greenri01.jpg,0,25,38,53
Nikola Jokić,https://www.basketball-reference.com/req/202105201/images/players/jokicni01.jpg,0,10,31,53
Marc Gasol,https://www.basketball-reference.com/req/202105201/images/players/gasolma01.jpg,0,24,36,53
Jay Vincent,https://www.basketball-reference.com/req/202105201/images/players/vinceja01.jpg,0,18,37,53
Jake Pelkington,,0,21,35,53
Jack Twyman,https://www.basketball-reference.com/req/202105201/images/players/twymaja01.jpg,0,13,37,53
Chris Morris,https://www.basketball-reference.com/req/202105201/images/players/morrich01.jpg,0,18,25,53
Bud Palmer,,0,5,27,53
Alvan Adams,https://www.basketball-reference.com/req/202105201/images/players/adamsal01.jpg,0,16,39,53
Sidney Wicks,https://www.basketball-reference.com/req/202105201/images/players/wickssi01.jpg,0,16,31,52
Pau Gasol,https://www.basketball-reference.com/req/202105201/images/players/gasolpa01.jpg,0,14,34,52
Noble Jorgensen,,0,18,32,52
Matt Maloney,,0,14,26,52
Kevin Garnett,https://www.basketball-reference.com/req/202105201/images/players/garneke01.jpg,0,21,35,52
Kentavious Caldwell-Pope,https://www.basketball-reference.com/req/202105201/images/players/caldwke01.jpg,0,21,34,52
Joe Barry Carroll,https://www.basketball-reference.com/req/202105201/images/players/carrojo01.jpg,0,18,40,52
Christian Laettner,https://www.basketball-reference.com/req/202105201/images/players/laettch01.jpg,0,14,28,52
Bill Walton,https://www.basketball-reference.com/req/202105201/images/players/waltobi01.jpg,0,11,35,52
Ben Gordon,https://www.basketball-reference.com/req/202105201/images/players/gordobe01.jpg,0,30,44,52
Tom Meschery,,0,8,34,51
Mike Bibby,https://www.basketball-reference.com/req/202105201/images/players/bibbymi01.jpg,0,20,25,51
Marquis Daniels,https://www.basketball-reference.com/req/202105201/images/players/daniema01.jpg,0,13,29,51
Jrue Holiday,https://www.basketball-reference.com/req/202105201/images/players/holidjr01.jpg,0,19,31,51
Johnny Newman,,0,8,17,51
Hassan Whiteside,https://www.basketball-reference.com/req/202105201/images/players/whiteha01.jpg,0,21,38,51
Harrison Barnes,https://www.basketball-reference.com/req/202105201/images/players/barneha02.jpg,0,8,32,51
Dave Twardzik,,0,18,37,51
Chris Mills,https://www.basketball-reference.com/req/202105201/images/players/millsch01.jpg,0,15,26,51
Buck Williams,https://www.basketball-reference.com/req/202105201/images/players/willibu01.jpg,0,23,35,51
Brian Shaw,,0,16,36,51
Bogdan Bogdanović,https://www.basketball-reference.com/req/202105201/images/players/bogdabo01.jpg,0,18,36,51
Andrew Wiggins,https://www.basketball-reference.com/req/202105201/images/players/wiggian01.jpg,0,18,31,51
Adrian Dantley,https://www.basketball-reference.com/req/202105201/images/players/dantlad01.jpg,0,17,36,51
Wes Unseld,https://www.basketball-reference.com/req/202105201/images/players/unselwe01.jpg,0,13,31,50
Vin Baker,https://www.basketball-reference.com/req/202105201/images/players/bakervi01.jpg,0,25,33,50
Tyler Herro,https://www.basketball-reference.com/req/202105201/images/players/herroty01.jpg,0,15,30,50
Tracy McGrady,https://www.basketball-reference.com/req/202105201/images/players/mcgratr01.jpg,0,25,38,50
Tom Chambers,https://www.basketball-reference.com/req/202105201/images/players/chambto01.jpg,0,4,34,50
Magic Johnson,https://www.basketball-reference.com/req/202105201/images/players/johnsma02.jpg,0,13,38,50
John Lucas,,0,11,32,50
Joe Fulks,https://www.basketball-reference.com/req/202105201/images/players/fulksjo01.jpg,0,17,26,50
James Worthy,https://www.basketball-reference.com/req/202105201/images/players/worthja01.jpg,0,16,34,50
Isiah Thomas,https://www.basketball-reference.com/req/202105201/images/players/thomais01.jpg,0,10,21,50
Dave Greenwood,https://www.basketball-reference.com/req/202105201/images/players/greenda01.jpg,0,17,36,50
Bob Gross,https://www.basketball-reference.com/req/202105201/images/players/grossbo01.jpg,0,14,24,50
Andre Drummond,https://www.basketball-reference.com/req/202105201/images/players/drumman01.jpg,0,13,33,50
Yao Ming,https://www.basketball-reference.com/req/202105201/images/players/mingya01.jpg,0,10,31,49
Voshon Lenard,https://www.basketball-reference.com/req/202105201/images/players/lenarvo01.jpg,0,24,35,49
Spencer Haywood,https://www.basketball-reference.com/req/202105201/images/players/haywosp01.jpg,0,22,32,49
Ray Williams,,0,9,25,49
Luke Kennard,https://www.basketball-reference.com/req/202105201/images/players/kennalu01.jpg,0,21,40,49
Lionel Hollins,https://www.basketball-reference.com/req/202105201/images/players/hollili01.jpg,0,12,33,49
Lee Shaffer,,0,17,19,49
Klay Thompson,https://www.basketball-reference.com/req/202105201/images/players/thompkl01.jpg,0,22,43,49
Kerry Kittles,https://www.basketball-reference.com/req/202105201/images/players/kittlke01.jpg,0,10,33,49
Kemba Walker,https://www.basketball-reference.com/req/202105201/images/players/walkeke02.jpg,0,20,36,49
Kelvin Ransey,,0,8,34,49
John Hargis,,0,17,28,49
Jay Humphries,https://www.basketball-reference.com/req/202105201/images/players/humphja01.jpg,0,13,34,49
Isaiah Thomas,https://www.basketball-reference.com/req/202105201/images/players/thomais02.jpg,0,22,44,49
George Ratkovicz,,0,25,35,49
Don Otten,,0,20,41,49
Dike Eddleman,,0,10,26,49
Cazzie Russell,,0,18,25,49
Anthony Roberts,,0,16,35,49
Vince Boryla,,0,20,36,48
Steve Smith,https://www.basketball-reference.com/req/202105201/images/players/smithst01.jpg,0,19,30,48
Michael Porter,https://www.basketball-reference.com/req/202105201/images/players/portemi01.jpg,0,13,41,48
Lamar Odom,https://www.basketball-reference.com/req/202105201/images/players/odomla01.jpg,0,17,30,48
Greg Monroe,https://www.basketball-reference.com/req/202105201/images/players/monrogr01.jpg,0,14,32,48
Frank Johnson,,0,15,34,48
Courtney Lee,https://www.basketball-reference.com/req/202105201/images/players/leeco01.jpg,0,18,42,48
Calvin Natt,https://www.basketball-reference.com/req/202105201/images/players/nattca01.jpg,0,15,42,48
Bucky Bockhorn,,0,24,35,48
Bob Feerick,,0,13,32,48
Tony Jaros,,0,29,43,47
Slick Leonard,https://www.basketball-reference.com/req/202105201/images/players/leonasl01.jpg,0,15,34,47
Robert Parish,https://www.basketball-reference.com/req/202105201/images/players/parisro01.jpg,0,10,30,47
Norm Van Lier,https://www.basketball-reference.com/req/202105201/images/players/vanlino01.jpg,0,11,25,47
Marcus Morris,https://www.basketball-reference.com/req/202105201/images/players/morrima03.jpg,0,20,31,47
Larry Bird,https://www.basketball-reference.com/req/202105201/images/players/birdla01.jpg,0,15,29,47
LaMarcus Aldridge,https://www.basketball-reference.com/req/202105201/images/players/aldrila01.jpg,0,7,34,47
John Shumate,,0,16,24,47
Jamal Murray,https://www.basketball-reference.com/req/202105201/images/players/murraja01.jpg,0,17,41,47
Dominique Wilkins,https://www.basketball-reference.com/req/202105201/images/players/wilkido01.jpg,0,21,39,47
Dolph Schayes,https://www.basketball-reference.com/req/202105201/images/players/schaydo01.jpg,0,5,21,47
Darrell Griffith,https://www.basketball-reference.com/req/202105201/images/players/griffda01.jpg,0,9,23,47
Damon Stoudamire,https://www.basketball-reference.com/req/202105201/images/players/stoudda01.jpg,0,12,29,47
Chris Webber,https://www.basketball-reference.com/req/202105201/images/players/webbech01.jpg,0,14,31,47
Chandler Parsons,https://www.basketball-reference.com/req/202105201/images/players/parsoch01.jpg,0,9,26,47
Cedric Maxwell,https://www.basketball-reference.com/req/202105201/images/players/maxwece01.jpg,0,15,28,47
Andrés Nocioni,https://www.basketball-reference.com/req/202105201/images/players/nocioan01.jpg,0,25,35,47
Quentin Richardson,https://www.basketball-reference.com/req/202105201/images/players/richaqu01.jpg,0,22,37,46
Kenny Smith,https://www.basketball-reference.com/req/202105201/images/players/smithke01.jpg,0,15,34,46
Josh Smith,https://www.basketball-reference.com/req/202105201/images/players/smithjo03.jpg,0,6,19,46
Jim Baechtold,,0,17,38,46
Jameer Nelson,https://www.basketball-reference.com/req/202105201/images/players/nelsoja01.jpg,0,10,19,46
Frankie Brian,,0,17,43,46
Dave Cowens,https://www.basketball-reference.com/req/202105201/images/players/cowenda01.jpg,0,23,34,46
Brad Daugherty,https://www.basketball-reference.com/req/202105201/images/players/daughbr01.jpg,0,12,33,46
Bob Davies,https://www.basketball-reference.com/req/202105201/images/players/daviebo01.jpg,0,23,36,46
Bill Russell,https://www.basketball-reference.com/req/202105201/images/players/russebi01.jpg,0,16,36,46
Benoit Benjamin,https://www.basketball-reference.com/req/202105201/images/players/benjabe01.jpg,0,12,20,46
Amar'e Stoudemire,https://www.basketball-reference.com/req/202105201/images/players/stoudam01.jpg,0,24,29,46
Al Horford,https://www.basketball-reference.com/req/202105201/images/players/horfoal01.jpg,0,20,29,46
Wayman Tisdale,,0,20,35,45
LaSalle Thompson,,0,12,35,45
Jim Chones,https://www.basketball-reference.com/req/202105201/images/players/choneji01.jpg,0,23,35,45
Jeff Hornacek,https://www.basketball-reference.com/req/202105201/images/players/hornaje01.jpg,0,10,27,45
Jason Terry,https://www.basketball-reference.com/req/202105201/images/players/terryja01.jpg,0,17,32,45
Gus Johnson,https://www.basketball-reference.com/req/202105201/images/players/johnsgu01.jpg,0,16,26,45
Frank Ramsey,https://www.basketball-reference.com/req/202105201/images/players/ramsefr01.jpg,0,25,37,45
Eric Gordon,https://www.basketball-reference.com/req/202105201/images/players/gordoer01.jpg,0,16,39,45
Duncan Robinson,https://www.basketball-reference.com/req/202105201/images/players/robindu01.jpg,0,6,30,45
Dikembe Mutombo,https://www.basketball-reference.com/req/202105201/images/players/mutomdi01.jpg,0,12,26,45
Calbert Cheaney,,0,11,37,45
Arnie Risen,https://www.basketball-reference.com/req/202105201/images/players/risenar01.jpg,0,14,28,45
Al Ferrari,https://www.basketball-reference.com/req/202105201/images/players/ferraal01.jpg,0,22,29,45
Wilbur Holland,,0,18,44,44
Wayne Embry,https://www.basketball-reference.com/req/202105201/images/players/embrywa01.jpg,0,22,36,44
Todd Lichti,,0,22,27,44
Steve Mix,https://www.basketball-reference.com/req/202105201/images/players/mixst01.jpg,0,12,26,44
Shake Milton,https://www.basketball-reference.com/req/202105201/images/players/miltosh01.jpg,0,13,27,44
Richie Guerin,https://www.basketball-reference.com/req/202105201/images/players/gueriri01.jpg,0,24,30,44
Quintin Dailey,,0,25,33,44
Maurice Cheeks,https://www.basketball-reference.com/req/202105201/images/players/cheekma01.jpg,0,9,25,44
Luis Scola,https://www.basketball-reference.com/req/202105201/images/players/scolalu01.jpg,0,14,28,44
Julius Randle,https://www.basketball-reference.com/req/202105201/images/players/randlju01.jpg,0,15,30,44
Jack George,,0,19,25,44
Guy Rodgers,,0,10,30,44
George Lee,,0,11,21,44
Earl Tatum,,0,12,18,44
Dennis Johnson,https://www.basketball-reference.com/req/202105201/images/players/johnsde01.jpg,0,14,35,44
Bingo Smith,https://www.basketball-reference.com/req/202105201/images/players/smithbi02.jpg,0,10,27,44
Bill Laimbeer,https://www.basketball-reference.com/req/202105201/images/players/laimbbi01.jpg,0,9,40,44
Willie Naulls,,0,8,34,43
Wah Wah Jones,,0,12,32,43
Shammond Williams,https://www.basketball-reference.com/req/202105201/images/players/willish01.jpg,0,23,38,43
Sean Elliott,https://www.basketball-reference.com/req/202105201/images/players/elliose01.jpg,0,15,33,43
Ramon Sessions,https://www.basketball-reference.com/req/202105201/images/players/sessira01.jpg,0,14,28,43
Nick Anderson,https://www.basketball-reference.com/req/202105201/images/players/anderni01.jpg,0,13,35,43
Max Morris,,0,10,26,43
Kevin Martin,https://www.basketball-reference.com/req/202105201/images/players/martike02.jpg,0,7,33,43
Giannis Antetokounmpo,https://www.basketball-reference.com/req/202105201/images/players/antetgi01.jpg,0,12,18,43
Eddie Miles,,0,14,29,43
Dino Radja,,0,10,28,43
Dennis Scott,https://www.basketball-reference.com/req/202105201/images/players/scottde01.jpg,0,15,26,43
